,question,answer,context,predicted_answer,cost,length,time taken,accuracy
0,What types of insurance plans does AXA offer?,"AXA typically offers individual plans, family plans, and group plans. These may include options like PPO (Preferred Provider Organization), HMO (Health Maintenance Organization), and high-deductible plans with health savings accounts.","AXA is a major global insurance company that provides various health insurance options to meet different needs. Their offerings typically include plans for individuals, families, and groups, with different coverage structures like PPO and HMO.","AXA offers various health insurance plans including individual, family, and group options with coverage structures like PPO and HMO.",0.00017060000000000003,132,3.212554454803467,1
1,How can I find in-network healthcare providers?,"You can find in-network providers by using AXA's online provider directory, calling customer service, or using the AXA mobile app.","Insurance companies like AXA maintain networks of approved healthcare providers. They usually provide tools for policyholders to easily locate these in-network providers. You can find a list of these providers on the AXA website, AXA's online provider directory, calling customer service, or using the AXA mobile app.","To find in-network healthcare providers, you can use AXA’s online provider directory, call customer service, or use the AXA mobile app.",0.00018328,135,2.8989882469177246,1
2,What is the process for filing a claim with AXA?,"To file a claim with AXA, contact them within six months of payment, provide a fully receipted invoice, and follow the instructions provided by AXA for claim submission. Make sure to have all necessary information ready for assessment"," Paying claims for in-patient and day-patient treatment at a hospital where we have arrangements for making direct payments If you have your treatment at a hospital listed in our network of hospitals, we will pay the hospital directly for treatment covered by your policy. Always remember to contact us before you have your treatment so that we can set up any direct payment arrangements with the hospital before your visit. Paying claims for in-patient and day-patient treatment at other hospitals If you have treatment that you are covered for at a hospital that is not in our network of hospitals, we may still be able to pay the hospital directly. Always remember to contact us before you have your treatment so that we can get in touch with the hospital you’ve chosen and try to arrange to pay them directly for your treatment. Paying claims for out-patient treatment If you have out-patient treatment, most providers will ask you to pay for your treatment and then make your claim to us. However, some providers will allow you to have your out-patient treatment on the understanding that they will claim the cost back from us. You can search for an out-patient provider at: ​axaglobalhealthcare.com/customer​. You may be asked to show your AXA membership card and a separate form of photo ID when you have your treatment. The treatments that we will cover directly at certain medical providers are: • GP/family doctor consultations • specialist consultations • prescription drugs and dressings • minor diagnostic tests, for example x-rays or ultrasounds • blood tests • up to the first five sessions of physiotherapy (you will need to ask us to pre-approve further sessions) • vaccinations. If it turns out that your treatment is not covered, you will be asked to pay for the cost of the treatment. Page 19 How should I claim if I have already paid for my treatment? If you want to claim for medical bills you have paid yourself, you must make your claim within six months of the date of payment unless that is not reasonably possible. Please contact us on the claims number or at ​axaglobalhealthcare.com/customer​ and we will explain how to claim. If you pay for any treatment yourself, always get a fully receipted invoice that shows how much you have paid for the treatment. You will need this if you want to claim, and for your own records. If your treatment is being provided as part of a package, we will reimburse the cost of the package once all treatment has taken place. If your treatment provider is able to provide a breakdown of the treatment you have received to date, we may be able to reimburse some of the costs before the package of treatment is complete. We may ask you to provide more information to support your claim, for example your card receipt or a copy of your statement. You must provide us with the information we ask for as soon as reasonably possible so that we can assess your claim. We will pay you for the cost of the treatment we cover. If it turns out that your treatment or part of it is not covered, we will not reimburse you for the cost of the treatment that is not covered. What happens if I receive a bill? If you receive a bill, please contact us on the claims number or at ​axaglobalhealthcare.com/customer​ We’ll explain how to send the bill to us so that we can assess it. What should I do if I need further treatment? If you need further treatment, please call us first to confirm your cover. What currency will I be paid in? We will pay you in the currency that you request when you make a claim. The currency must be in our list of currencies we can pay in. To see the list, go to the ‘How bills are paid’ page on ​axaglobalhealthcare.com​ We will use the exchange rate listed in the Financial Times Guide to World Currencies on the day of your treatment for out-patient and day-patient treatment, and the day of your admission for in-patient treatment. Where there are currency or exchange rate controls in place, we may not use the rate listed in the Financial Times. In these circumstances, we may contact you to request evidence of the exchange rate used when you purchased the currency and we will use that exchange rate to reimburse you. Charges from your bank You should contact your own bank to find out if they will make any charges for you to send or receive money, or to exchange currency. Any charges from your bank are not covered by your policy. 2.2 > The information we may need when you make a claim When you call us, we will explain if your treatment is covered. Usually, this all happens very quickly","To file a claim with AXA, contact them before your treatment to set up direct payment arrangements or to get instructions on how to submit a claim if you have already paid for your treatment.",0.00075298,191,3.4795098304748535,0
3,Does AXA cover pre-existing conditions?,"AXA Healthcare covers pre-existing conditions based on the underwriting terms you joined on, which include fully underwritten, continuing medical exclusions, or moratorium","To check whether we will agree to cover a treatment, please call us on +44 (0)1892 503 856 before you start treatment 3.2 > How your policy works with pre-existing conditions and symptoms of them Your policy is designed to cover treatment of new medical conditions that begin after you join. You may also be covered for treatment of conditions you were aware of or had already had when you joined. We call these conditions pre-existing conditions. Your cover for pre-existing conditions depends on the underwriting terms you joined on. Your healthcare insurance statement shows which underwriting terms you joined on. Here are the options: • Fully underwritten (or full medical underwriting) • Continuing medical exclusions • Moratorium. Page 23 Definition of a pre-existing condition A pre-existing condition is any disease, illness or injury that: • you have received medication, advice or treatment for in the five years before the start of your cover, or • you have experienced symptoms of in the five years before the start of your cover, whether or not the condition was diagnosed. Underwriting terms We have explained how each set of underwriting terms work and what cover you have for pre-existing conditions in the following panels. If you are unsure about your cover for treatment of pre-existing conditions, it is always best to contact us. Definition of fully underwritten or full medical underwriting ‘Fully underwritten’ means we asked you for details of your medical history, including any pre-existing conditions, before you joined. We then worked out your cover based on the information we received. We list any special terms or exclusions on your healthcare insurance statement – please check this carefully. For example, you may not have cover for something specific if you have had that condition in the past. Your statement will also show whether we can remove the exclusion after a period of time. Definition of continuing medical exclusions If you joined us on ‘continuing medical exclusions’ terms, we are carrying on your exclusions for medical conditions from your previous health insurer. This normally means we only asked you a few brief medical questions. We listed any special terms or exclusions on your healthcare insurance statement – please check this carefully. For example, you may not have cover for something specific if you have had that condition in the past. Your healthcare insurance statement will also show whether we will remove the exclusion after a period of time. If we carried on a moratorium from your previous healthcare insurance, the rules of your moratorium may be slightly different, and we may start the moratorium from when it originally began on your previous insurance. Your healthcare insurance statement will show when your moratorium started. Definition of moratorium If you joined us on moratorium terms, it means that you do not have cover for treatment of medical problems you had in the five years before you joined us until: • you have been a member for two years in a row, and • you have had a period of two years in a row that have been trouble-free from that condition. If you joined us from another health insurer or from a company plan, and we carried on your moratorium from that insurer, the rules may be slightly different, and we may start the moratorium from when it originally began on your previous insurance. If you joined on moratorium terms, what do we mean by trouble-free? Trouble-free means that, for the medical condition you need treatment for, you have not: Page 24 • had a medical opinion from a medical practitioner • taken medication (including over-the-counter drugs) • followed a special diet • had medical treatment • visited a medical practitioner, complementary practitioner, optician or dentist. Specified conditions that we do not cover If you joined us on moratorium terms and you had a pre-existing condition we will not cover the pre-existing condition or the specified conditions listed in this table. Pre-existing condition at the time you join us Specified conditions that we will not cover whatever their cause You have been diagnosed with diabetes. Diabetes Ischaemic heart disease Cataract Diabetic retinopathy Diabetic renal disease Arterial disease Stroke You have had treatment for raised blood pressure (hypertension) in the five years before you joined. Raised blood pressure Ischaemic heart disease Stroke Hypertensive renal failure You have been under investigation, had treatment or undergone monitoring as a result of a Prostate Specific Antigen (PSA) test in the five years before you joined",AXA's coverage for pre-existing conditions depends on the underwriting terms of your specific policy; check your healthcare insurance statement or contact them directly for details.,0.0007144100000000001,181,2.2939939498901367,1
4,What is the waiting period for maternity coverage?,"The waiting period for maternity coverage typically ranges from 10 to 12 months, but this can vary by plan and region.","Waiting Periods & Co-insurance a) Our In-patient and Daycare Treatment, Out-patient Treatment, Routine Optical Care, Psychiatric Treatment & Vaccination benefits will be covered from the date of commencement of cover. b) The following benefits will not be payable during the specified waiting periods: Benefits Waiting Period (From date of commencement of cover) Health Screen, Pre and Post-natal Complications, Pregnancy and Delivery, Hospice and Palliative Care. 12 months Pre-existing conditions 9 months (Plan 1 and 2)12 months (Plan 3 and 4) c) A 20% co-insurance is applicable to routine dental benefit available under Plan 1. No other co-insurance/deductible is applied to any other benefits. 4. Change of principle country of residence If you change your principal country of residence (the country where you live or intend to live for most of the year being 185 days or more) you must tell us as this may affect your eligibility. 5. Outside Area of Cover If you are outside the area of cover, we will only provide cover for emergency treatment. We will, in consultation with the treating medical practitioner, retain the right to determine what constitutes ‘emergency’ treatment. There is no coverage for treatment for any condition if you have travelled outside your area of cover to get treatment (whether or not that was the only reason) or for any treatment which was, or may have reasonably been known about, before travel commenced. Under no circumstance will benefit be payable for any aspect of pregnancy or childbirth. 8 6. Policy Renewal/ Renewal Premium a) This is a yearly renewable policy. Unless renewed, the coverage will cease on expiry date and the insurance company shall strictly not be liable for any expenses that take place after the expiry date. On or before the expiry of your policy, and subject to our acceptance, you may renew this policy by paying the premium applicable at the time of renewal. This shall not apply in the event that the policy expires, or is terminated or cancelled in accordance with the terms of this policy and you should subsequently wish to reapply for insurance cover under this policy. b) Premium rates are not guaranteed and the premium payable at renewal shall be determined at each renewal based on the attained age of each member, the premium rates then in effect, and any other factors which may materially affect the risks insured. c) We have the right to cancel or change all or any part of your policy from any renewal date by giving you at least thirty (30) days written notice prior to the renewal date. We will not change the terms of your policy alone simply as a result of your personal claims. However, we will make changes only to reflect any past or foreseeable changes in medical practice or procedures and the claims experience. The purpose of such changes will be to seek, as far as possible, to maintain substantially the same level and type of cover in place while ensuring that the plan remains affordable. 7. Free look Period You have a free-look period of 15 business days from the date that you receive this Policy to review it. You are deemed to have received the Policy within 3 days after we have dispatched it. If you decide that this Policy does not suit your needs, you may request to cancel it by giving us clear, written instructions and returning the Policy documents and membership card(s) to us within the free-look period. Provided that no claims have been made during this period, we shall refund the premiums paid by you in full without interest. This free-look period shall not apply to policy renewals. 8. Disadvantages of switching policy from one insurer to another One of the main disadvantages is if your current health status is less favourable to the new insurer, new terms may be imposed to exclude such illness. To ensure continuous cover is provided, you are advised to check with us on the accepting terms prior to your policy expiry date. 9. Needs and Affordability You should satisfy yourself that this policy will best serve your needs and that the premium payable under the policy is an amount that you can afford. Should you require additional information about our InternationalExclusive Policy, you may contact us or your insurance agent. For additional information about medical and health insurance, please refer to the insuranceinfo booklet on ‘Medical & Health Insurance’, which is available at all our branches","The waiting period for maternity coverage, including pre and post-natal complications, pregnancy, and delivery, is 12 months from the date of commencement of cover.",0.00071256,164,2.76949143409729,1
5,How do I add a dependent to my AXA health insurance plan?,"To add a dependent to your AXA health insurance plan, you can call us at (0)1892 503 856. We will guide you through the process and help you add your partner, children, or a new baby to your policy","What is not covered? We do not cover any fees for any kind of bariatric (weight loss) surgery, regardless of why the surgery is needed. This includes fitting a gastric band, creating a gastric sleeve, or other similar treatment. Page 46 5 Managing your policy 5.1 > Adding a family member or baby 5.2 > Making changes to your cover 5.3 > Paying your premium(s) 5.4 > Paying your excess 5.5 > Cancelling your policy 5.6 > Keeping us informed 5.7 > Why premiums change 5.8 > Making a complaint Page 47 5.1 > Adding a family member or baby To add a family member or baby to your cover, call us on +44 (0)1892 503 856 and we will talk you through how it works. Who you can add You can apply to add the following family members to your policy: • Your partner in marriage, in a civil partnership, or when living together permanently in a similar relationship. (There may be certain circumstances where we cannot add a partner.) • Any of your children or your partner’s children. • A new baby. Adding a new baby If you would like to add a new baby to your cover, you can do this from their date of birth so long as you call us within three months of their birth. We will not normally need details of their medical history. There may be some limits to our cover if any of the following apply: • either parent has had any kind of fertility treatment and the babies are a multiple birth; or • the babies are a multiple birth and were born after assisted reproduction; or • you have adopted the baby. We have explained these limits in the following paragraphs. Babies born after fertility treatment, or following assisted reproduction, or who you have adopted You can add a baby born after fertility treatment, or following assisted reproduction (such as IVF), or who you’ve adopted, to your policy. As with most health insurance, our cover for treatment has a few limits in these situations. If you have adopted a baby, or if you have a multiple birth after fertility treatment or following assisted reproduction: • we may ask for more details of the baby’s medical history • we will not cover treatment in a Special Care Baby Unit or paediatric intensive care immediately after the birth • we may add other conditions to the baby’s cover. For example, we may limit their cover for pre-existing conditions. We count fertility treatment as either parent taking any prescription or non-prescription drug or other treatment to increase fertility. 5.2 > Making changes to your cover You can normally make changes to your cover, such as adding the dental upgrade or changing your excess, during the cooling off period or when you renew. Page 48 Please call us so we can talk about the options available to you. Depending on your underwriting style, any pre-existing medical conditions you have and any medical conditions that have developed since you joined, there may be some restrictions or limitations to the cover you can add. 5.3 > Paying your premium(s) When you join, and shortly before your policy is up for renewal, we’ll let you know how much your premium(s) will be. You can then choose to pay a yearly, quarterly or monthly premium(s). How can I pay my premium(s)? You can pay in any of the following ways: • yearly, quarterly or monthly by Direct Debit if you have a UK bank account – payment will be in Sterling • yearly, quarterly or monthly by credit card • yearly or quarterly by cheque. Your policy documents will tell you exactly when we will collect your payments, or how to send in your cheque. What happens if I miss a payment? It is important that you pay your premium(s) when they are due. If you miss a payment, we will cancel your policy and we will not pay any claim for any treatment that you had after the payment was due. If you have stopped paying for your policy, or you have missed or think you will miss a payment, please call us on +44 (0)1892 503 856. We will talk to you about your payment options or alternative cover options. Charges from your bank You should contact your own bank to find out if they will make any charges for you to send or receive money, or to exchange currency. Any charges from your bank are not covered by your policy. 5.4 > Paying your excess Your healthcare insurance statement will tell you if your policy has an excess and how much it is. This section tells you how to pay it","To add a dependent to your AXA health insurance plan, call +44 (0)1892 503 856 and they will guide you through the process.",0.0007631,123,2.8347766399383545,1
6,What is the difference between inpatient and outpatient coverage?,"Inpatient coverage is for care that requires hospital admission, while outpatient coverage is for care that doesn't require overnight stays, such as doctor's visits or day surgeries.",Health insurance plans often distinguish between inpatient care (requiring hospital admission) and outpatient care (not requiring overnight stays). This distinction can affect coverage and costs.,"Inpatient coverage is for services requiring hospital admission, while outpatient coverage is for services that do not require an overnight hospital stay.",0.00016429999999999998,154,1.9140112400054932,1
7,Does AXA offer dental insurance as part of their health plans?,"Some AXA health plans may include basic dental coverage, while others might offer it as an optional add-on. Standalone dental plans may also be available. Accidental damage to teeth benefits are included in all AXA plans. Routine dental treatment is included under Plan 1 ","They will confirm your cover before you incur any treatment costs. Am I protected if I travel outside my chosen area of cover? Worldwide cover ensures you are never outside your area of cover. If you choose Asia# or Worldwide excluding USA∆ cover, we do still provide cover for Emergency Treatment. Is there a dental benefit? Accidental damage to teeth benefits is included on all our plans. Routine dental treatment is included under Plan 1. Can I cover my children too? Yes, you can include any unmarried children under the age of 21 on your policy for an additional premium. When they reach 21 they will be required to take out their own policy. Can I choose where I get treatment? Yes, you can visit any medical practitioner within your area of cover provided they are registered. You are free to go anywhere. We have contractual agreements with a number of medical centres where we have preferred rates. Use of the network applicable to your plan will minimise delays in settling any claims you may need to make. Do you always pay claims in full? All claims are paid on a ‘reasonable and customary’ basis. If the cost for the treatment of your illness or injury is above the reasonable cost for the same treatment in the same area, we may not be able to settle the claim in full. What do you mean by ‘reasonable and customary’? We consider charges for medical care as ‘reasonable and customary’ to the extent that they do not exceed the general level of charges being made by others of similar standing in the locality where the charges are incurred when giving like or comparable treatment",AXA includes accidental damage to teeth benefits on all their plans and routine dental treatment is covered under Plan 1.,0.0003457,121,2.1025326251983643,1
8,How can I check the status of my claim?,"You can check the status of your claim by visiting ​axaglobalhealthcare.com/customer​, logging into your account, and navigating to the claims section","If you are both at the location where you normally live and they have to be evacuated or repatriated from that location, we will pay for your additional reasonable and necessary transport costs that result Page 16 from the evacuation or repatriation. We will do this if it is medically appropriate for you to travel with the family member. We will not cover your accommodation costs. What will happen to my travel ticket? Any unused portion of the travel tickets belonging to you or anyone that we evacuate with you will immediately become our property. You must give the tickets to us. Can I choose to travel to a particular country for treatment? You can choose to go to a particular country for treatment, but we will not cover the cost of travelling to that country. Once you are in that country, the terms of the policy apply as normal. Exclusions that apply to your cover for emergency evacuation and repatriation You are not covered for emergency evacuation or repatriation if any of the following apply: • the medical condition does not need immediate emergency in-patient treatment • the medical condition does not prevent you from travelling or working • the medical condition is directly or indirectly caused by a deliberately self-inflicted injury, suicide or an attempt at suicide • the medical condition is in any way connected with alcohol abuse, drug abuse or substance abuse • the medical condition is a result of engaging in or training for any sport for which you receive a salary or monetary reimbursement, including grants or sponsorship (unless you only receive travel costs) • the medical condition is a result of base jumping, cliff diving, flying in an unlicensed aircraft or as a learner, martial arts, free climbing, mountaineering with or without ropes, scuba diving to a depth of more than 10 metres, trekking to a height of over 2,500 metres, bungee jumping, canyoning, hang-gliding, paragliding or microlighting, parachuting, potholing, skiing off piste or any other winter sports activity carried out off piste • the evacuation would involve moving you from a ship, oil-rig platform or similar off- shore location • we have not approved the evacuation or repatriation first • we have not been told about the medical condition within 30 days of the condition becoming an emergency (unless this was not reasonably possible) • the medical condition is a result of nuclear, biological or chemical contamination, war (whether declared or not), act of foreign enemy, invasion, civil war, riot, rebellion, insurrection, revolution, overthrow of a legally constituted government, explosions of war weapons or any event similar to one of those listed • the emergency occurs when you are on a leisure trip to a destination to which the UK Foreign and Commonwealth Office either advises against all travel, or advises against all travel on holiday or non-essential business. Limits on our liability under your cover for emergency evacuation and repatriation We will not be liable for: • any failure or delay in providing emergency evacuation or repatriation • injury or death while you are being moved. These limits do not apply if the failure or delay is caused by our negligence or the negligence of someone we have appointed to act for us. Page 17 2 Making a claim 1 Get in touch with us before you see the medical practitioner • Go to your account at ​axaglobalhealthcare.com/customer​ • Call us on +44 (0)1892 503 856 • For treatment in the USA, call us on +1 800 308 2611 Make sure you contact us before you see the medical practitioner or have any treatment. ","To check the status of your claim, contact AXA Global Healthcare through your account at axaglobalhealthcare.com/customer or call +44 (0)1892 503 856.",0.0006302699999999999,150,3.0160086154937744,1
9,What is the deductible for AXA's most popular health insurance plan?,The context does not provide specific information about the deductible for AXA's most popular health insurance plan.,"Deductibles are a common feature of health insurance plans, representing the amount policyholders must pay before insurance coverage kicks in. They can vary widely between plans.",The deductible for AXA's most popular health insurance plan is not specified in the provided context.,0.00016166,101,1.7507855892181396,1
